base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
b78do,1,,FALSE,FALSE,0
balaala,1,,FALSE,FALSE,0
balabala,1,,FALSE,FALSE,0
balagly,1,,FALSE,FALSE,0
balaleu,1,,FALSE,FALSE,0
balamd,1,,FALSE,FALSE,0
benz,1,,FALSE,FALSE,0
bh2,1,,FALSE,FALSE,0
bh4,1,,FALSE,FALSE,0
bmte,1,,FALSE,FALSE,0
bt,1,,FALSE,FALSE,0
btn,1,,FALSE,FALSE,0
bz,1,,FALSE,FALSE,0
c140,1,,FALSE,FALSE,0
c160,1,,FALSE,FALSE,0
c161,1,,FALSE,FALSE,0
c180,1,,FALSE,FALSE,0
c181,1,,FALSE,FALSE,0
c182,1,,FALSE,FALSE,0
c183_LPAREN_3_RPAREN_,1,,FALSE,FALSE,0
c183_LPAREN_6_RPAREN_,1,,FALSE,FALSE,0
c200,1,,FALSE,FALSE,0
c201,1,,FALSE,FALSE,0
c203_LPAREN_6_RPAREN_,1,,FALSE,FALSE,0
c204_LPAREN_3_RPAREN_,1,,FALSE,FALSE,0
c204_LPAREN_6_RPAREN_,1,,FALSE,FALSE,0
c205_LPAREN_3_RPAREN_,1,,FALSE,FALSE,0
c220,1,,FALSE,FALSE,0
c225_LPAREN_3_RPAREN_,1,,FALSE,FALSE,0
c226_LPAREN_3_RPAREN_,1,,FALSE,FALSE,0
c240,1,,FALSE,FALSE,0
c245_LPAREN_3_RPAREN_,1,,FALSE,FALSE,0
c246_LPAREN_3_RPAREN_,1,,FALSE,FALSE,0
carbo,1,,FALSE,FALSE,0
cellb,1,,FALSE,FALSE,0
cellul,1,,FALSE,FALSE,0
cer,1,,FALSE,FALSE,0
ceth,1,,FALSE,FALSE,0
chib,1,,FALSE,FALSE,0
chit,1,,FALSE,FALSE,0
chito,1,,FALSE,FALSE,0
chlben,1,,FALSE,FALSE,0
chlphenol,1,,FALSE,FALSE,0
chtbs,1,,FALSE,FALSE,0
cit,1,,FALSE,FALSE,0
cln,1,,FALSE,FALSE,0
cm,1,,FALSE,FALSE,0
cmp,1,,FALSE,FALSE,0
co2,1,,FALSE,FALSE,1
colipa,1,,FALSE,FALSE,0
colipap,1,,FALSE,FALSE,0
corn,1,,FALSE,FALSE,0
cpd00109x,1,,FALSE,FALSE,0
cpd00110x,1,,FALSE,FALSE,0
cpd40000,1,,FALSE,FALSE,0
cpdFixed,1,,FALSE,FALSE,0
cpdMALT,1,,FALSE,FALSE,0
cpdNodF,1,,FALSE,FALSE,0
cpdRHBC4,1,,FALSE,FALSE,0
cpkepox,1,,FALSE,FALSE,0
cpri,1,,FALSE,FALSE,0
crn__D,1,,FALSE,FALSE,0
cro2,1,,FALSE,FALSE,0
cs1,1,,FALSE,FALSE,0
cynt,1,,FALSE,FALSE,0
cys,1,,FALSE,FALSE,0
cysi__L,1,,FALSE,FALSE,0
d2one,1,,FALSE,FALSE,0
d3one,1,,FALSE,FALSE,0
d4one,1,,FALSE,FALSE,0
d6pgc,1,,FALSE,FALSE,0
d6pgl,1,,FALSE,FALSE,0
dag181d9,1,,FALSE,FALSE,0
dag182d9d12,1,,FALSE,FALSE,0
damp,1,,FALSE,FALSE,0
darg,1,,FALSE,FALSE,0
dbggly,1,,FALSE,FALSE,0
dca,1,,FALSE,FALSE,0
dcmp,1,,FALSE,FALSE,0
ddgly,1,,FALSE,FALSE,0
dex,1,,FALSE,FALSE,0
dfru,1,,FALSE,FALSE,0
dg,1,,FALSE,FALSE,0
dgacer,1,,FALSE,FALSE,0
dglc,1,,FALSE,FALSE,0
dgudbutn,1,,FALSE,FALSE,0
dhp,1,,FALSE,FALSE,0
dhps,1,,FALSE,FALSE,0
dihyde,1,,FALSE,FALSE,0
ditne,1,,FALSE,FALSE,0
dmanur,1,,FALSE,FALSE,0
dmso2,1,,FALSE,FALSE,0
doris,1,,FALSE,FALSE,0
dorn,1,,FALSE,FALSE,0
doxrbcn,1,,FALSE,FALSE,0
dt,1,,FALSE,FALSE,0
dxylnt,1,,FALSE,FALSE,0
ecto__L,1,,FALSE,FALSE,0
entbactin,1,,FALSE,FALSE,0
ethy,1,,FALSE,FALSE,0
f,1,,FALSE,FALSE,0
fad,1,,FALSE,FALSE,0
fcoelchl,1,,FALSE,FALSE,0
fe3dcit,1,,FALSE,FALSE,0
fe3mcbtt,1,,FALSE,FALSE,0
fe3pyovd,1,,FALSE,FALSE,0
fe3pyovd_kt,1,,FALSE,FALSE,0
feenter,1,,FALSE,FALSE,0
feroxB,1,,FALSE,FALSE,0
feroxBfe,1,,FALSE,FALSE,0
feroxE,1,,FALSE,FALSE,0
feroxEfe,1,,FALSE,FALSE,0
fgt,1,,FALSE,FALSE,0
fkyn,1,,FALSE,FALSE,0
fmn,1,,FALSE,FALSE,0
for,1,,FALSE,FALSE,1
fusa,1,,FALSE,FALSE,0
g,1,,FALSE,FALSE,0
g3pg,1,,FALSE,FALSE,0
gact,1,,FALSE,FALSE,0
gbbtn,1,,FALSE,FALSE,0
gc,1,,FALSE,FALSE,0
gl,1,,FALSE,FALSE,0
glacer,1,,FALSE,FALSE,0
glc_A,1,,FALSE,FALSE,0
